userId,strokeLengthSD,strokeLengthAvg,strokeSpeedSD,strokeSpeedAvg,numSegmentsAvg,locationXAvg,locationXSD,locationYAvg,locationYSD,sequenceInGroup,boundingArea,numStrokes,timestampAvg,timestampSD,timestampMin,timestampMax,timestampMedian,timestampUpper,timestampLower,score,rank
215,76.78233132431188,76.58681961465122,76.78233132431188,1940.835714279541,35.214285714285715,468.5766627144765,151.00097665479595,283.1761013356746,54.22116211092342,2,152475.58985200844,56.0,162184.2142857143,89287.43113821978,0.0,280075.0,184846.5,239812.75,88287.5,4.0,1
216,103.0858912262893,63.48556270419133,103.0858912262893,276.60190476633255,16.695238095238096,326.70755697763894,147.32907413871752,380.2555586837192,125.55048191861763,1,337255.8774132918,105.0,83947.3238095238,54291.64339587547,0.0,159672.0,96954.0,136642.0,23102.0,3.6,2
217,90.88193539730193,63.77413239898652,90.88193539730193,797.7282608695652,35.30434782608695,576.1975739538954,118.70990549482235,416.4677122365081,103.609883831903,3,191664.0419632195,92.0,161329.14130434784,72972.01685782362,0.0,273185.0,153741.5,226390.75,111360.25,2.8,4
218,132.97621494741722,81.53599730333649,132.97621494741722,1331.5142857162725,26.976190476190474,509.51511779047837,354.90757978164004,422.59040159885853,227.88855623866982,5,641478.6000000001,42.0,159970.0,97202.6588459992,0.0,288590.0,194102.5,229366.75,61654.75,2.8,4
219,132.74434462065093,73.97666818388711,132.74434462065093,870.5549999952316,30.0,709.9932005415226,187.54193097389748,275.4999700798175,61.77067111323149,4,144349.27295482985,60.0,55705.0,39722.16474292919,0.0,141116.0,40964.5,91118.75,21886.0,3.2,3
278,171.44381369263425,169.49829759124358,171.44381369263425,558.400000000002,32.40243902439025,572.0289787772214,267.42401987361654,554.4465471735595,176.63785598515102,1,637006.386051004,82.0,141467.70731707316,97846.39953752252,0.0,291435.0,120506.5,251334.75,53603.5,4.2,1
280,76.01269920901288,78.93340533616883,76.01269920901288,944.4285714287045,39.660714285714285,534.9077696359848,275.55798383126046,511.6231034033643,109.77969735934714,2,361817.75862276874,56.0,91586.35714285714,55166.04152801005,0.0,188204.0,101299.0,136573.25,34585.5,3.8,3
281,90.24093048971599,78.43412400246049,90.24093048971599,750.4065217421106,15.608695652173912,493.41910382276245,338.65325235294915,533.7126212232679,258.7073737930384,3,905567.2103365386,92.0,133312.14130434784,79654.07422684578,0.0,268992.0,141314.0,188321.25,56179.75,4.2,1
282,57.07559835442512,87.8292182843217,57.07559835442512,1353.8666666666666,84.7,575.4559802936998,58.21384255909329,138.38915361496237,71.59850082056009,4,53784.47211222052,30.0,85064.9,64591.076322027104,0.0,198058.0,73686.5,158897.25,25703.5,2.2,4
283,105.50007163920557,98.20778938994792,105.50007163920557,1847.1387096797266,48.806451612903224,494.89977558943986,200.2279981071413,552.3746533706278,54.998533735158084,5,107035.9364792249,31.0,144597.90322580645,77016.87721374445,0.0,249729.0,151485.0,220141.0,89364.5,1.2,5
836,151.48400340086047,155.12232316517168,151.48400340086047,1567.9142857142858,41.114285714285714,982.7642651409923,110.24935652235362,437.17739430767324,133.69333950349179,2,195532.23159105837,35.0,162153.08571428573,89921.93715412976,0.0,283752.0,178408.0,235977.5,92778.5,3.3333333333333335,3
838,56.045849786424895,71.61409713225655,56.045849786424895,185.9768292682427,9.841463414634147,630.2446506897869,170.5609009172584,359.86658245072107,107.59886468689214,1,278608.88210356137,164.0,152974.67682926828,88413.60248349597,0.0,274599.0,151097.0,244728.75,62150.5,3.3333333333333335,3
839,153.75776041037943,153.35250956773626,153.75776041037943,1236.906250000009,49.34375,429.0320145881351,287.7670744181874,374.2314119200654,149.813592483099,3,432856.8105006106,32.0,141883.9375,61332.514026694495,16575.0,242648.0,120268.0,194248.25,103301.75,3.6666666666666665,2
840,153.5517956786765,104.30191367648065,153.5517956786765,1087.5685714285821,25.042857142857144,474.75939652984493,235.7276674468148,390.45368472648744,182.0912938461879,4,534135.9326340326,70.0,140561.54285714286,76939.85619002426,0.0,245600.0,158062.5,211555.75,61366.75,4.333333333333333,1
841,361.3109655856941,230.59694311990677,361.3109655856941,1207.493670886076,30.39240506329114,486.1139053476221,241.67249883232122,512.3838300213724,197.76420275932665,5,651421.247445888,79.0,124281.6329113924,94904.5872111696,0.0,291846.0,78369.0,205781.0,48805.5,3.0,5
